#OTU ID	LauraG1C1S15	LauraG1C2S19	LauraG1C3S23	LauraG1T2S7	LauraG1T3S11	LauraG2C1S16	LauraG2C2S20	LauraG2C3S24	LauraG2T3S12	LauraP1C1S13	LauraP1C2S17	LauraP1C3S21	LauraP1T1S1	LauraP1T2S5	LauraP1T3S9	LauraP2C1S14	LauraP2C2S18	LauraP2C3S22	LauraP2T2S6	LauraP2T3S10
OTU_1	1151	10210	4865	5254	5765	3045	4677	6773	1949	9466	3622	4945	578	5297	3293	4203	5515	4367	7193	3589
OTU_10	35	0	0	25	6	3	0	0	24	3	0	0	0	1	74	827	1	0	0	55
OTU_100	0	0	0	0	9	2	0	0	0	1	0	0	0	0	54	0	0	0	0	0
OTU_1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU_1001	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0
OTU_1002	0	1	0	3	0	0	0	1	0	1	0	0	0	2	0	0	0	0	5	0
OTU_1003	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0
OTU_1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0
OTU_1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0
OTU_1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU_1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU_1008	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
OTU_1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU_101	6	4	0	9	1	13	0	0	0	44	5	7	7	5	0	3	0	2	52	0
OTU_1010	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0
OTU_1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU_1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU_1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU_1014	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
OTU_1015	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
OTU_1016	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1017	2	0	2	0	0	1	0	0	0	1	0	0	0	1	0	3	0	0	0	1
