#OTU ID	LauraG1C1S15	LauraG1C2S19	LauraG1C3S23	LauraG1T2S7	LauraG1T3S11	LauraG2C1S16	LauraG2C2S20	LauraG2C3S24	LauraG2T3S12	LauraP1C1S13	LauraP1C2S17	LauraP1C3S21	LauraP1T1S1	LauraP1T2S5	LauraP1T3S9	LauraP2C1S14	LauraP2C2S18	LauraP2C3S22	LauraP2T2S6	LauraP2T3S10
OTU_1	1151	10210	4865	5254	5765	3045	4677	6773	1949	9466	3622	4945	578	5297	3293	4203	5515	4367	7193	3589
OTU_2	251	5969	881	602	359	339	1354	1376	388	1106	1299	1937	146	1607	251	553	600	1911	1332	570
OTU_3	355	344	957	1160	2178	2036	1097	910	699	556	25	239	43	219	123	87	3968	256	243	54
OTU_4	294	2036	990	832	18	243	1396	1113	181	1014	280	483	73	557	2	154	3300	500	353	50
OTU_8	536	10	3	928	141	70	1	1	2204	328	1	5	174	164	1849	68	13	4	27	355
OTU_5	56	521	16	74	21	1	10	115	60	126	18	141	5	1263	30	139	57	80	1828	2
OTU_6	37	1510	91	126	239	51	204	176	162	116	49	113	6	138	14	24	55	18	92	59
OTU_13	69	156	5	513	126	31	28	66	9	296	13	41	26	371	1	99	60	51	223	76
OTU_11	52	610	69	58	101	43	94	220	18	161	32	63	24	75	4	60	63	44	77	42
OTU_36	164	137	23	44	209	103	16	58	119	217	1	20	15	57	179	64	207	95	91	30
OTU_21	1	369	69	34	173	104	142	229	251	65	39	64	11	21	14	27	10	28	3	12
OTU_18	2	352	18	7	43	21	64	42	2	274	52	70	3	254	153	105	20	26	63	45
OTU_9	3	907	14	0	28	33	13	18	4	6	14	12	0	73	34	18	28	37	31	10
OTU_7	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_50	5	137	46	33	12	2	131	36	2	72	55	83	8	115	16	26	147	104	84	9
OTU_10	35	0	0	25	6	3	0	0	24	3	0	0	0	1	74	827	1	0	0	55
OTU_55	2	163	12	35	117	15	8	27	69	158	26	45	4	58	20	12	202	38	38	0
OTU_56	2	24	2	0	12	2	1	2	1	85	103	98	25	112	129	42	2	112	119	39
OTU_47	5	69	57	15	185	43	100	79	111	35	14	55	3	39	5	22	24	18	4	14
OTU_20	1	141	0	55	0	0	284	0	0	0	0	54	0	0	0	0	306	8	0	0
OTU_48	38	28	2	141	33	5	77	19	133	46	2	22	17	13	69	13	12	4	3	158
OTU_14	70	0	0	0	29	3	0	0	0	0	0	0	0	0	0	11	0	0	0	664
OTU_27	11	6	0	241	0	1	0	14	0	87	0	6	0	229	0	12	0	4	121	0
OTU_57	6	35	1	214	45	7	1	7	4	40	0	11	22	151	23	18	13	22	49	25
OTU_12	0	559	1	0	0	2	3	1	0	1	3	6	0	9	0	3	14	4	2	0
OTU_34	0	31	4	0	32	12	13	1	0	123	15	13	1	13	220	33	36	21	6	33
OTU_35	1	0	0	71	18	13	1	2	179	17	0	1	0	0	230	9	1	4	0	3
OTU_37	60	7	0	39	36	1	2	0	69	18	0	0	3	0	277	2	0	0	0	1
OTU_15	1	32	0	0	1	59	0	4	0	334	0	6	0	2	22	31	2	7	9	0
OTU_17	0	20	5	9	0	15	8	4	0	318	11	14	2	14	0	9	14	27	26	0
OTU_74	0	67	20	0	11	2	34	20	1	21	22	53	3	74	1	6	11	20	56	8
OTU_98	8	43	24	51	27	13	70	25	4	5	18	33	0	40	6	2	32	15	11	1
OTU_51	0	41	0	1	14	5	4	3	0	17	4	6	1	38	201	13	6	9	43	0
OTU_26	75	0	0	0	12	4	0	0	0	0	0	0	0	12	0	0	0	0	0	296
OTU_59	4	6	9	12	42	13	3	67	1	17	15	9	1	24	27	9	1	6	8	112
OTU_30	0	39	1	7	10	0	1	2	0	22	0	7	2	4	8	31	26	0	225	0
