#OTU ID	CBAS_Control_01	CBAS_Bleached_01	CBAS_Bleached_02	CBAS_Bleached_03	CBAS_Bleached_04	CBAS_Control_02	CBAS_Control_03	CBAS_Control_04	CBAS_Control_05	CBAS_Control_06	CBAS_Control_07	CBAS_Shading_9W_01	CBAS_Shading_3W_01	CBAS_Shading_6W_01	CBAS_Shading_9W_02	CBAS_Bleached_05	CBAS_Shading_3W_02	CBAS_Shading_6W_02	CBAS_Control_08
OTU_1	10368	301	201	13	100	8333	6502	4161	5631	6618	6276	680	5502	2759	768	409	2369	2288	4064
OTU_2	2640	2588	84	3454	42	1790	206	2083	1280	1251	1700	1256	3612	1623	2247	2617	5174	4836	3660
OTU_3	573	2091	1247	4931	1233	599	18	516	1008	1440	1236	3799	4889	4677	1094	3458	1697	887	160
OTU_4	2814	665	1045	386	2586	3542	464	1779	2597	2899	2734	348	1549	616	813	476	3799	2007	2350
OTU_6	1075	1209	1761	1319	619	318	184	644	1472	1261	570	879	565	557	1356	1794	2935	3444	320
OTU_5	139	2612	611	859	4769	1529	10	122	104	119	526	516	568	473	906	2811	478	337	151
OTU_10	403	938	515	792	437	765	32	480	482	535	597	133	379	308	641	317	1046	809	361
OTU_11	528	112	123	92	217	479	247	302	604	658	646	235	1116	397	122	267	524	219	386
OTU_16	644	449	759	179	229	513	113	160	339	445	287	92	322	145	258	248	463	410	186
OTU_7	102	596	2255	251	42	296	0	273	82	143	104	118	486	450	312	224	130	257	43
OTU_8	52	127	138	301	21	278	5	253	282	251	567	139	1461	288	83	184	912	202	30
OTU_15	298	70	222	194	50	174	14	252	297	416	587	131	572	443	77	187	317	232	396
OTU_12	117	774	372	380	34	1134	6	60	66	89	72	67	196	130	190	230	159	180	80
OTU_19	0	497	2	1629	2	7	0	8	26	40	15	107	54	25	221	1490	65	100	0
OTU_9	1	1435	135	419	36	3	0	2	12	41	80	22	20	28	239	459	6	27	0
OTU_21	428	4	37	0	11	248	74	2	53	40	94	52	399	83	181	2	370	219	68
OTU_14	22	15	10	4	6	224	2	44	70	47	212	17	780	75	43	23	401	58	88
OTU_17	216	79	8	71	2	98	30	20	26	35	43	97	150	104	81	107	507	223	131
OTU_24	85	399	283	0	75	158	30	0	5	8	16	14	7	20	125	0	351	189	113
OTU_26	16	49	239	166	280	107	13	5	7	6	13	86	61	101	21	279	30	29	18
OTU_23	9	349	402	0	496	14	3	0	2	5	10	0	0	0	36	0	40	35	7
OTU_27	80	91	185	36	72	111	10	20	29	53	69	64	154	94	54	40	93	55	75
OTU_18	5	146	35	240	5	63	3	39	17	19	31	17	7	27	44	494	5	3	4
OTU_13	35	0	1	807	0	2	0	1	14	19	4	15	4	29	7	103	12	28	0
OTU_28	23	54	82	89	7	1	2	24	22	31	73	49	67	60	43	127	90	112	22
OTU_22	0	6	16	0	0	46	2	1	10	26	111	1	0	0	516	2	0	0	1
OTU_20	0	0	0	0	0	476	7	0	0	0	0	0	0	0	0	0	0	0	0
OTU_29	0	44	0	217	0	0	0	0	2	2	5	4	0	0	9	140	0	3	0
OTU_30	6	9	9	89	1	9	0	2	9	12	19	17	29	31	39	95	21	21	3
OTU_35	58	134	21	6	0	46	0	0	20	14	14	0	16	3	36	10	5	18	1
OTU_25	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31	0	36	0	149	0	0	0	1	3	1	0	1	1	0	1	54	0	0	0
OTU_33	0	14	0	106	0	0	0	1	1	5	0	1	0	0	2	39	0	1	0
OTU_32	18	12	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	129
OTU_38	0	0	0	3	0	1	0	2	5	17	7	43	25	33	0	9	7	0	0
OTU_34	3	0	20	61	0	0	0	0	3	0	0	0	0	0	0	48	0	0	0
OTU_41	0	82	7	13	0	1	0	0	0	0	7	4	2	0	0	9	0	0	0
OTU_56	0	0	0	16	0	0	0	0	0	0	0	2	0	4	36	48	16	0	0
OTU_118	0	37	0	44	0	0	0	1	1	1	0	0	0	1	7	4	0	3	0
OTU_44	0	0	0	37	0	0	0	0	0	1	0	0	0	0	0	52	0	0	0
OTU_39	0	38	0	0	0	0	0	0	2	0	0	0	0	0	32	0	0	1	0
OTU_46	42	8	0	0	0	1	0	0	0	0	1	0	0	1	12	2	0	0	0
OTU_78	0	31	14	1	0	2	0	0	1	0	0	0	3	1	9	2	0	0	0
OTU_61	0	36	0	7	0	1	0	0	0	0	2	1	0	2	0	3	0	0	0
OTU_40	0	2	0	36	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0
OTU_36	0	0	0	42	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0
OTU_93	2	3	2	7	0	0	0	0	0	0	0	11	8	3	3	10	0	1	0
